file,molecule,position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
filtered_docked.sdf,mol_0,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_0,1,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_0,2,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_1,3,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_1,4,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_1,5,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_2,6,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_2,7,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_2,8,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_3,9,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_3,10,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_3,11,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_4,12,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_4,13,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_4,14,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_5,15,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_5,16,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_5,17,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_6,18,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_6,19,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_6,20,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_7,21,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_7,22,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_7,23,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_8,24,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_8,25,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_8,26,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_9,27,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_9,28,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
filtered_docked.sdf,mol_9,29,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
